"ID","ID 2","AreaI","xutm","yutm","prodzone","PRODUCER","C_AKRON","C_ALBANY","C_ALBION","C_ALFRED","C_AMSTERDAM","C_ARCADE","C_ATTICA","C_AUBURN","C_BATAVIA","C_BATH","C_BINGHAMTON","C_BRIDGEPORT","C_BUFFALO","C_CANAJOHA","C_CANANDAIGUA","C_CANTON","C_CARTHAGE","C_CATSKILL","C_CAZENOVIA","C_CHITTENANGO","C_CHURCHVILLE","C_COBLESKILL","C_CORINTH","C_CORNING","C_CORTLAND","C_COXSACKIE","C_DANBURY","C_DANNEMORE","C_DANSVILL","C_DRYDEN","C_DUNKIRK-FREDONIA","C_ELLENVILLE","C_ELMIRA","C_GENESEO","C_GENEVA","C_GLENSFAL","C_GLOVERSVILLE","C_GOSHEN","C_GOUVERNE","C_GOWANDA","C_GRANVILL","C_GREENWICH","C_HAMILTON","C_HAMLINTO","C_HIGHLAND","C_HOLLEY","C_HOOSICKF","C_HORNELL","C_HUDSON","C_ILIONHER","C_ITHACA","C_JAMESTOW","C_KINGSTON","C_LAKEPLAC","C_LEROY","C_LIBERTY","C_LIMA","C_LITTLEFA","C_LIVONIA","C_LOCKPORT","C_LOWVILLE","C_LYONS","C_MALONE","C_MASSENA","C_MATTITUCK","C_MECHANIC","C_MEDINA","C_MIDDLETO","C_MONTGOME","C_MONTICEL","C_MORAVIA","C_MOUNTMOR","C_NEWPALTZ","C_NEWYORKN","C_NEWARK","C_NEWFANE","C_NORWICH","C_OGDENSBU","C_OLEAN","C_ONEIDA","C_ONEONTA","C_OSWEGO","C_OWEGO","C_PENNYAN","C_PERRY","C_PLATTSBU","C_PORTJERV","C_POTSDAM","C_POUGHKEE","C_RAVENA","C_REDHOOK","C_RHINEBEC","C_RIVERHEA","C_ROCHESTE","C_ROME","C_SAGHARBO","C_SALAMANC","C_SARANACL","C_SARATOGA","C_SAYRE","C_SIDNEY","C_SILVERCR","C_SKANEATE","C_SODUS","C_SOUTHOLD","C_SPRINGS","C_SPRINGVI","C_SYRACUSE","C_TICONDER","C_TUPPERLA","C_UTICA","C_VALATIE","C_WALTON","C_WALWORTH","C_WARRENSB","C_WARSAW","C_WARWICK","C_WATERTOW","C_WATKINSG","C_WEEDSPOR","C_WELLSVIL","C_WESTHURL","C_WESTFIELD","C_WOODRIDG","C_WURTSBOR","P_AKRON","P_ALBANY","P_ALBION","P_ALFRED","P_AMSTERDAM","P_ARCADE","P_ATTICA","P_AUBURN","P_BATAVIA","P_BATH","P_BINGHAMT","P_BRIDGEPO","P_BUFFALO","P_CANAJOHA","P_CANANDAI","P_CANTON","P_CARTHAGE","P_CATSKILL","P_CAZENOVI","P_CHITTENA","P_CHURCHVI","P_COBLESKI","P_CORINTH","P_CORNING","P_CORTLAND","P_COXSACKI","P_DANBURY","P_DANNEMOR","P_DANSVILL","P_DRYDEN","P_DUNKIRKF","P_ELLENVIL","P_ELMIRA","P_GENESEO","P_GENEVA","P_GLENSFAL","P_GLOVERSV","P_GOSHEN","P_GOUVERNE","P_GOWANDA","P_GRANVILL","P_GREENWIC","P_HAMILTON","P_HAMLINTO","P_HIGHLAND","P_HOLLEY","P_HOOSICKF","P_HORNELL","P_HUDSON","P_ILIONHER","P_ITHACA","P_JAMESTOW","P_KINGSTON","P_LAKEPLAC","P_LEROY","P_LIBERTY","P_LIMA","P_LITTLEFA","P_LIVONIA","P_LOCKPORT","P_LOWVILLE","P_LYONS","P_MALONE","P_MASSENA","P_MATTITUC","P_MECHANIC","P_MEDINA","P_MIDDLETO","P_MONTGOME","P_MONTICEL","P_MORAVIA","P_MOUNTMOR","P_NEWPALTZ","P_NEWYORKN","P_NEWARK","P_NEWFANE","P_NORWICH","P_OGDENSBU","P_OLEAN","P_ONEIDA","P_ONEONTA","P_OSWEGO","P_OWEGO","P_PENNYAN","P_PERRY","P_PLATTSBU","P_PORTJERV","P_POTSDAM","P_POUGHKEE","P_RAVENA","P_REDHOOK","P_RHINEBEC","P_RIVERHEA","P_ROCHESTE","P_ROME","P_SAGHARBO","P_SALAMANC","P_SARANACL","P_SARATOGA","P_SAYRE","P_SIDNEY","P_SILVERCR","P_SKANEATE","P_SODUS","P_SOUTHOLD","P_SPRINGS","P_SPRINGVI","P_SYRACUSE","P_TICONDER","P_TUPPERLA","P_UTICA","P_VALATIE","P_WALTON","P_WALWORTH","P_WARRENSB","P_WARSAW","P_WARWICK","P_WATERTOW","P_WATKINSG","P_WEEDSPOR","P_WELLSVIL","P_WESTHURL","P_WESTFIEL","P_WOODRIDG","P_WURTSBOR","Type (I)","Branches (I)","Coordinates (I)","X (I)","Y (I)","Longitude (I)","Latitude (I)","Length (I)","Area (I)","Bearing (I)","Selection Mask (I)","Selection (I)","Version (I)"
1,165600,25000000,107500,4662500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,107500,4662500,-79.7400,42.0185,20000,25000000,0,1,1,0
2,165653,25000000,117500,4657500,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,117500,4657500,-79.6164,41.9786,20000,25000000,0,1,1,0
3,165654,25000000,112500,4662500,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,112500,4662500,-79.6798,42.0210,20000,25000000,0,1,1,0
4,165655,25000000,107500,4667500,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,107500,4667500,-79.7434,42.0634,20000,25000000,0,1,1,0
5,165708,25000000,122500,4657500,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,122500,4657500,-79.5562,41.9810,20000,25000000,0,1,1,0
6,165709,25000000,117500,4662500,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,117500,4662500,-79.6196,42.0234,20000,25000000,0,1,1,0
7,165710,25000000,112500,4667500,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,112500,4667500,-79.6831,42.0659,20000,25000000,0,1,1,0
8,165711,25000000,107500,4672500,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,107500,4672500,-79.7467,42.1083,20000,25000000,0,1,1,0
9,165764,25000000,127500,4657500,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,127500,4657500,-79.4960,41.9833,20000,25000000,0,1,1,0
10,165765,25000000,122500,4662500,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Area,1,4,122500,4662500,-79.5594,42.0259,20000,25000000,0,1,1,0
